Name,cls
CCN1/C(=C/C2=[N+](C=CS2)CC3=C(SC(=C3)C)C)/S/C(=C/4\N(C5=C(S4)C=C(C=C5)Cl)C)/C1=O.[Cl-],1
CC1=C(C(=O)O[C@H](C1)[C@@H](C)C2=C[C@@H]([C@@]3([C@@]2(CC[C@H]4[C@H]3C[C@@H]5[C@]6([C@@]4(C(=O)C=C[C@@H]6OC(=O)/C=C/C(=O)N(C)C)C)O5)C)O)OC(=O)C)C,1
CNC1=NC(=NC(=C1)C2=CC3=C(C=C2)C(=NN3)N)N,1
CNC(=O)C1=CC=C(C=C1)NC2=NC=C3C(=N2)C(=CS3)C4=CC=CC=C4OC,1
CN1C=C(N=C1)S(=O)(=O)N(CCN(CC2=CN=CN2C)C3=CC=C(C=C3)Br)CC4=CC=CC=C4,1
C1=CC2=C(C(=C1)O)NC3=C4C(=C5C(=C23)C(=O)N(C5=O)NCC(CO)O)C6=C(N4C7C(C(C(C(O7)CO)O)O)O)C(=CC=C6)O,1
CCN(CC)CCOC1=CC=C(C=C1)NC2=NC=C3C=C(C(=O)N(C3=N2)C)C4=C(C=CC=C4Cl)Cl,1
CN(C)CCNC(=O)C1=C2C(=CC=C1)N=C3C=CC4=C(C3=N2)C=CC=C4F,1
CC(=O)O[C@@H]1C[C@]2([C@@H](CC[C@@H]2O)C3=C1[C@]4([C@H](OC(=O)/C(=C/N5CCN(CC5)CCN6CCOCC6)/C4=C(C3=O)O)COC)C)C,1
CN1C=C(N=C1)S(=O)(=O)N(CCN(CC2=CN=CN2C)C3=CC=C(C=C3)C#N)CC4=CC(=CC=C4)C#N,1
CN(C)CCN(C)CCC(=O)NC1=C2C3=CC=CC=C3SC2=C(C=C1)C4=CC=CC5=C4OC(=CC5=O)N6CCOCC6,1
CCN1/C(=C/C2=[N+](C=CS2)CC3=CC=CC=C3)/S/C(=C/4\N(C5=C(S4)C=CC(=C5)C)C)/C1=O.[Cl-],1
CC1=CC2=C(C=C1)N(C(=C(C2=O)C(=O)NC3=CC(=C(C=C3)OC4=NC=NC5=C4C(=CN5)C6=CC=CC=C6)F)C7=CC=CC=C7)C,1
C1COC2=C(N1C(=O)NC3=CC=C(C=C3)Cl)C=CC(=C2)OC4=NC=NC5=C4C=CN5,1
